8796093025074|Eve-Mary Thai|Hoang|332|2222
8796093025288|Andrea|Rossi|61|687
6597069777302|John|Singh|52|641
8327|Wolfgang|Fischer|54|606
6597069776538|Gabriel|Gonzalez|54|574
4398046518969|Sergio|Abascal|52|532
2199023259874|Daniele|Russo|44|521
459|Jharana Bajracharya Rashid|Shrestha|45|520
6037|Jose|Sánchez|46|476
10995116286147|Naresh|Sharma|43|421
6597069766678|Ken|Yamada|36|401
10550|Zhong|Li|28|329
4398046515753|Lyubov|Aab|26|324
2199023261325|Chengdong|Li|44|316
6597069773702|Zaenal|Mohede|41|316
2199023261361|Yoshio|Sato|25|310
10995116283175|Francisco|Alonso|25|306
4534|David|Jones|42|287
2199023265354|Ivan|Basov|45|286
2199023257965|Neil|Evans|24|275
10995116286485|Jose|Cruz|28|274
8614|Chuon|Chau|42|270
6597069771994|Mehmet|Arikan|20|264
8796093027771|Ulf|Carlsson|41|261
6597069774734|John|Kumar|40|246
1274|Roberto|Fernandez|25|234
8796093023897|Zheng|Liu|24|233
2199023265064|Jimmy|Dogg|35|232
2199023259756|Sam|Carter|19|222
9116|Adriaan|Dijk|19|216
4398046515167|Lin|Zhang|17|216
4398046512603|Prince|Suzuki|27|211
6597069777240|Fritz|Muller|18|210
4398046512890|Abhishek|Kapoor|30|207
4281|Jharana|Gurung|17|201
2199023258280|Macky|Mendy|16|200
8796093023560|Karthik|Kapoor|20|196
10995116285387|Muhammad|Khan|14|193
6597069777089|Aditya|Kumar|16|192
5025|Antonio|Aristizábal Vásquez|27|190
4555|A.|Irani|15|186
8796093028172|Karan|Khan|18|182
9579|Eduardo|Gonzalez|18|179
8796093031436|A.|Sharma|17|179
8824|Antonio|Gonzales|15|178
8796093028417|Jie|Wang|35|175
8796093029854|Zaenal|Budjana|14|174
8796093023919|Alexandre|Condariuc|15|170
10995116287870|Olavi|Hamalainen|13|170
4398046513098|Youssef|Aouadhi|13|165
4398046520793|Jean-Pierre|Blanc|15|164
1103|Mehmet|Ayhan|41|157
8796093025055|Sofiane|Alcazar|14|156
4157|Aleksandr|Basov|48|152
8796093029978|Rahul|Khan|15|152
8796093027201|Michael|Brown|13|149
1509|Alexandre|Pinzaru|10|143
8202|Jean van de|Omonga|15|141
8796093026886|Fritz|Fischer|13|141
8796093031803|Chen|Li|19|141
7725|Shweta|Khan|13|140
4398046511904|Alexander|Popov|41|140
4398046521540|John|Wilson|11|136
8796093029267|John|Khan|19|136
8796093029593|Lin|Liu|13|135
4398046520704|Haim|Qafiḥ|11|133
8796093024683|Mark|Dunne|13|133
3924|Zheng|Chen|23|131
2199023262952|Li|Zhang|11|131
8796093027294|Alberto|Amador|15|131
8796093023851|Evangelos|Dionysiou|25|129
6597069767067|Conor|Campbell|28|128
4398046514905|Karan|Chopra|45|127
6597069772222|Jun|Li|46|126
10995116281261|Aleksandr|Basov|42|123
8796093025406|Jose|Pereira|9|122
8796093031263|Ernst|Schmidt|11|120
6597069777235|Choi|Lee|26|118
6632|Mohamed|Aouadhi|26|116
8796093030364|Galina|Dobrunov|21|115
8796093029276|Bing|Yang|10|113
4398046515585|Peng|Li|13|112
6597069775498|Claudia|Baya|9|110
8796093024336|Abdoulaye Khouma|Sall|28|110
2199023255887|Johan|Lindberg|15|109
2199023259002|Mart|Aas|9|109
4398046518932|Zoltan|Toth|8|109
290|Ayesha|Baloch|7|107
2199023261912|Bingbing|Li|8|106
2199023264281|Lukwesa|Kalaba|11|106
2199023260804|Anh|Nguyen|11|105
8796093025361|Arjun|Khan|9|104
6597069773262|Bill|Moore|23|103
8796093031053|Arjun|Khan|26|103
2199023261980|James|Azami|23|102
2199023262543|Samir|Al-Fayez|11|102
4398046512573|Eko Maulana|Irama|8|102
4398046513174|Arvind|Sharma|15|101
4398046513018|Deepak|Kumar|10|100
2199023263061|Eugenia|Popov|7|98
