2473901599995|no|2013-01-21 19:25:17|2473901599991|26388279070744|Masahiro|Mori
2336465349086|I see|2012-12-29 19:57:41|2336465349084|28587302326634|Louisa|Baldini
2336466982203|About Abbas I of Persia, 1629) was Shah (king) of IrAbout Bosnia and Herzegovina|2012-12-24 01:08:30|2336466982187|7725|Shweta|Khan
2336462646173|About Pete Townshend,  have appeared on his solo albums, as well About Burt Reynolds|2012-12-20 15:56:52|2336462646161|6597069777107|Rafael|Suissa
2336462646179|no way!|2012-12-19 09:03:01|2336462646161|6597069777107|Rafael|Suissa
2336465349138|roflol|2012-12-18 11:02:11|2336465349130|17592186048879|Lei|Wei
2336464997913|About René Descartes, athematician, and writer who spent most of hAbout Charles Darwin|2012-12-15 17:49:58|2336464997903|30786325586708|Daniel|Amador
2336464997903|About René Descartes, een described as an example of genius. Descartes frequently sets his|2012-12-15 07:43:11|2336464997903|30786325586708|Daniel|Amador
2336465349042|cool|2012-12-11 20:52:53|2336465349034|6597069776206|Alexei|Bologan
2336465349040|About Willie Nelson, le album, destined to the IRS and the auction About Jackie Robinson, |2012-12-11 19:43:47|2336465349034|6597069776206|Alexei|Bologan
