9116|Adriaan|Dijk|2010-01-29 18:28:31|1081
6597069777240|Fritz|Muller|2010-08-24 20:13:46|948
2783|Rafael|Alonso|2010-01-15 22:31:47|889
8796093029002|Ali|Lo|2010-10-07 15:23:24|728
4139|Baruch|Dego|2010-01-28 01:38:17|655
4398046520894|Albert|Chedid|2010-07-03 07:43:23|549
15393162795439|Lomana Trésor|Kanam|2011-04-02 23:53:29|401
13194139543218|Peter|Hall|2011-02-04 08:29:05|281
13194139536497|Ahmed|Mahmoud|2011-01-17 11:59:57|264
26388279076187|Charles|Bona|2012-02-15 13:10:28|254
2199023265887|Mahmoud|Hassan|2010-04-17 15:23:24|222
6597069773773|Nassour Guelendouksia|Yoadimnadji|2010-07-24 12:37:59|200
19791209304023|Jack|Brown|2011-08-31 21:53:39|145
15393162790347|Esti|Verghese|2011-04-11 12:32:30|123
6597069767884|Emad|Mahmoud|2010-08-04 21:55:25|120
8796093031739|Ahmed|Hassan|2010-10-15 06:00:20|120
15393162795641|Yiannis|Alkaios|2011-03-31 03:53:20|114
28587302326940|Nirina|Radafison|2012-04-11 18:51:24|109
6597069772141|Petros|Angello|2010-08-30 06:16:05|102
24189255818402|Carlo|Donati|2011-11-26 03:19:35|95
2199023261566|Abdel Wahab|Hassan|2010-03-22 12:23:30|77
8796093025288|Andrea|Rossi|2010-10-26 17:10:51|77
2199023262712|Mohamed|Akef|2010-03-04 06:52:41|71
2199023257206|Kamal|Aziz|2010-04-30 14:03:11|66
21990232561537|Mohamed|Hassan|2011-10-15 05:30:49|63
19791209309833|Adel|Aziz|2011-08-28 04:11:49|52
24189255817342|Atef|Aziz|2011-11-21 11:07:21|45
24189255813121|Giuseppe|Colombo|2011-11-12 15:20:40|27
28587302330691|Atef|Hafez|2012-03-30 22:45:11|20
35184372094691|Maria|Kibona|2012-10-15 12:19:18|15
37383395348434|Mohamed|Achiou|2012-12-08 23:33:45|13
32985348839821|Abu|Akef|2012-08-21 22:53:41|8
32985348835356|Sirak|Dego|2012-08-11 13:42:50|6
32985348841742|Carlo|Russo|2012-09-06 08:05:52|4
94|K.|Sen|2010-01-06 18:34:13|0
102|Philibert|Roindefo|2010-02-19 09:16:53|0
143|Maria|Alkaios|2010-01-06 07:19:10|0
150|Alfonso|Alvarez|2010-01-11 08:53:31|0
238|Burak|Koksal|2010-01-07 11:20:01|0
250|Rahul|Kumar|2010-01-27 18:55:27|0
267|Aburizal|Mohede|2010-01-18 20:18:39|0
290|Ayesha|Baloch|2010-01-06 08:25:18|0
296|Zaenal|Gallagher|2010-02-20 14:50:14|0
318|Claude|Radafison|2010-01-30 23:52:35|0
344|Leonid|Makarova|2010-01-28 08:59:00|0
345|David|Herzigová|2010-02-27 10:35:06|0
378|Wilhelm|Muller|2010-01-17 21:30:24|0
407|Gregorio|Manalo|2010-01-17 12:49:53|0
471|Zoran|Aralica|2010-01-19 01:39:41|0
555|Chen|Yang|2010-01-08 06:41:35|0
583|Bingbing|Zhang|2010-01-24 02:12:41|0
609|Shweta|Sharma|2010-02-08 22:03:05|0
619|Hans|Richter|2010-01-22 20:55:03|0
668|Nicolas|Foucault|2010-01-08 00:37:26|0
687|Deepak|Singh|2010-01-13 09:37:40|0
772|Ashley|Coetzee|2010-02-04 13:58:27|0
788|Howard|Ha|2010-01-15 10:39:24|0
870|Dionysis|Karvelas|2010-02-22 00:14:54|0
933|Mahinda|Perera|2010-02-14 15:32:10|0
939|Alejandro|Sumac|2010-02-19 09:36:20|0
941|Aryo|Tobing|2010-02-16 21:41:06|0
987|Ali|Diori|2010-01-21 15:34:48|0
998|Carlos|Abarca|2010-02-06 22:05:02|0
1079|Faisal|Qureshi|2010-01-17 13:09:16|0
1103|Mehmet|Ayhan|2010-01-11 00:56:39|0
1125|Abdul Razzak|Jahani|2010-03-02 12:52:56|0
1129|Carmen|Lepland|2010-01-28 06:39:58|0
1160|Ching|Do|2010-01-23 18:21:05|0
1161|Li|Zhang|2010-02-11 16:58:33|0
1219|Prince|Margaritoglou|2010-02-05 22:38:37|0
1222|Ali|Brar|2010-01-07 20:41:41|0
1242|Hans|Johansson|2010-01-13 12:07:46|0
1274|Roberto|Fernandez|2010-01-22 13:05:49|0
1434|Andrzej|Zakrzewski|2010-01-20 22:59:17|0
1509|Alexandre|Pinzaru|2010-03-01 19:30:29|0
1573|Danijel|Ali|2010-02-24 12:48:23|0
1690|Yitzhak|Peretz|2010-01-16 05:41:57|0
1753|Tariq|Malik|2010-02-02 09:13:17|0
1829|Abby|Chen|2010-02-13 09:33:00|0
1921|Abdel Halim Ali Shabana|Hassan|2010-02-06 05:07:00|0
1929|Karl|Fischer|2010-02-25 23:20:08|0
1933|Muhammad|Ahmed|2010-02-27 19:28:05|0
1949|Rahul|Sharma|2010-01-16 02:40:27|0
1959|Alberto|Rodriguez|2010-01-12 00:09:58|0
1984|Angela|Muller|2010-01-27 21:41:16|0
2023|Andreas|Svensson|2010-01-17 23:12:24|0
2052|Valdas|Kauspedas|2010-01-12 00:19:52|0
2079|A. K.|Amjad|2010-02-06 04:21:10|0
2099|Juan|Diaz|2010-01-30 11:42:09|0
2135|David|Grenville|2010-02-04 12:09:13|0
2165|Bertin|Tchami|2010-02-08 12:07:11|0
2191|Jaime|Rojas|2010-01-16 16:40:35|0
2194|Alexander|Dobrunov|2010-02-17 08:43:00|0
2197|Yang|Zhang|2010-02-23 10:47:58|0
2214|Alexander|Ivanov|2010-01-04 20:51:21|0
2266|Kemal|Yasar|2010-02-19 03:39:27|0
2292|Daniil|Popov|2010-01-16 17:55:38|0
2304|Walter|Hoffmann|2010-02-08 08:45:25|0
2310|Ferenc|Kiss|2010-01-28 09:30:31|0
2317|Jiro|Sato|2010-01-25 23:24:42|0
