2199023262543|Samir|Al-Fayez|1236951693942|fine|2011-07-24 01:55:15
15393162796861|Binh|Ha|1236951603240|duh|2011-07-23 22:57:23
15393162796861|Binh|Ha|1236951603250|About Chen Shui-bian, leased, Chen helped found the DPP in 198About George H. W|2011-07-23 22:10:10
4398046515585|Peng|Li|1236953305766|About Muddy Waters,  4, 1913 – April 30, 1983), known as Muddy Waters, was a|2011-07-23 18:48:41
2199023262543|Samir|Al-Fayez|1236951693940|fine|2011-07-23 18:46:11
2199023262543|Samir|Al-Fayez|1236955378826|About U Got the Look, he middle of the song with Sheena Easton's vocal, and continues|2011-07-23 18:34:17
2199023262543|Samir|Al-Fayez|1236951693944|About Too Much Monkey Business, the third track on Chuck's fiAbout Panama, e the Repu|2011-07-23 17:43:48
2199023262543|Samir|Al-Fayez|1236951267706|no way!|2011-07-23 10:57:07
15393162796861|Binh|Ha|1236953484006|yes|2011-07-23 10:14:19
4398046515585|Peng|Li|1236955169705|About Moldova, d between Romania to the west and Ukraine to the north, east, and south.|2011-07-23 08:59:28
4398046515585|Peng|Li|1236957064726|About Che Guevara, h (1959-1967, his dAbout George W. Bush, ion about his presiAbout Theodor|2011-07-23 08:55:57
2199023262543|Samir|Al-Fayez|1236951267702|cool|2011-07-23 08:31:37
4398046515585|Peng|Li|1236955745613|good|2011-07-23 08:25:46
15393162796861|Binh|Ha|1236951286872|I see|2011-07-23 05:20:04
4555|A.|Irani|1236955745605|roflol|2011-07-23 04:47:31
2199023262543|Samir|Al-Fayez|1236955378820|thanks|2011-07-23 00:23:27
2199023262543|Samir|Al-Fayez|1236955378828|fine|2011-07-22 21:29:07
4555|A.|Irani|1236955507455|no|2011-07-22 19:48:33
4555|A.|Irani|1236955745612|LOL|2011-07-22 18:52:51
2199023262543|Samir|Al-Fayez|1236955712191|duh|2011-07-22 18:02:39
